
Assignment1,A1Kcf8Z1u3,78,ULwjaY2xyw
Assignment2,A1Kcf8Z1u3,67,ULwjaY2xyw
Assignment3,A1Kcf8Z1u3,70,ULwjaY2xyw
Assignment4,A1Kcf8Z1u3,83,ULwjaY2xyw
Midterm1,A1Kcf8Z1u3,47,ULwjaY2xyw
Assignment5,A1Kcf8Z1u3,93,ULwjaY2xyw
Midterm2,A1Kcf8Z1u3,30,ULwjaY2xyw
Final Project,A1Kcf8Z1u3,106,ULwjaY2xyw
Bonus Quiz,A1Kcf8Z1u3,9,ULwjaY2xyw
Final Exam,A1Kcf8Z1u3,80,ULwjaY2xyw
Assignment1,Rjuqf7P3nX,96,ULwjaY2xyw
Assignment2,Rjuqf7P3nX,71,ULwjaY2xyw
Assignment3,Rjuqf7P3nX,94,ULwjaY2xyw
Assignment4,Rjuqf7P3nX,67,ULwjaY2xyw
Midterm1,Rjuqf7P3nX,24,ULwjaY2xyw
Assignment5,Rjuqf7P3nX,73,ULwjaY2xyw
Midterm2,Rjuqf7P3nX,28,ULwjaY2xyw
Final Project,Rjuqf7P3nX,126,ULwjaY2xyw
Bonus Quiz,Rjuqf7P3nX,8,ULwjaY2xyw
Final Exam,Rjuqf7P3nX,90,ULwjaY2xyw
Assignment1,ECk9NPOnC1,88,ULwjaY2xyw
Assignment2,ECk9NPOnC1,60,ULwjaY2xyw
Assignment3,ECk9NPOnC1,97,ULwjaY2xyw
Assignment4,ECk9NPOnC1,94,ULwjaY2xyw
Midterm1,ECk9NPOnC1,43,ULwjaY2xyw
Assignment5,ECk9NPOnC1,86,ULwjaY2xyw
Midterm2,ECk9NPOnC1,53,ULwjaY2xyw
Final Project,ECk9NPOnC1,103,ULwjaY2xyw
Bonus Quiz,ECk9NPOnC1,0,ULwjaY2xyw
Final Exam,ECk9NPOnC1,64,ULwjaY2xyw
Assignment1,8BdlWK9mvn,87,ULwjaY2xyw
Assignment2,8BdlWK9mvn,56,ULwjaY2xyw
Assignment3,8BdlWK9mvn,63,ULwjaY2xyw
Assignment4,8BdlWK9mvn,56,ULwjaY2xyw
